Observation ID,Common Name,Scientific Name,Family,Genus,Observed Length (m),Observed Weight (kg),Age Class,Sex,Date of Observation,Country/Region,Habitat Type,Conservation Status,Observer Name,Notes
490,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.63,194.4,Adult,Male,20-03-2008,Colombia,Flooded Savannas,Critically Endangered,Kevin Gibson,Perhaps enter whom the cost continue section page.
491,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,2.66,209.5,Juvenile,Female,26-02-2022,Colombia,Flooded Savannas,Critically Endangered,Ashley Ferguson,House actually pretty least if price.
492,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.98,81.8,Subadult,Male,27-03-2007,Congo Basin Countries,Forest Rivers,Endangered,Molly Turner,Guess purpose real house few by add born administration.
493,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.74,124,Adult,Male,19-01-2022,Cameroon,Swamps,Endangered,Shannon Clark,Power job personal so course feeling leg listen against coach.
494,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.82,56.7,Adult,Male,19-02-2022,Philippines,Rivers,Critically Endangered,Michael Maynard,After last drug far stop hot free bill.
495,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.76,126.9,Adult,Female,04-11-2024,Senegal,Rivers,Least Concern,Jessica Perry,Say other never fact maintain main opportunity particularly question stage maintain research month instead firm.
496,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.52,106,Adult,Unknown,05-02-2017,Malaysia (Borneo),Estuarine Systems,Data Deficient,Steven Butler,Bring performance position large job claim risk light just medical onto rate two table resource life.
497,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,4.22,441.8,Subadult,Male,31-03-2018,Venezuela,Large Rivers,Critically Endangered,Miranda Myers,Strategy pull same somebody son suddenly perform executive see project can current.
498,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,3.22,149.7,Subadult,Male,31-10-2019,Papua New Guinea,Freshwater Wetlands,Least Concern,Ashlee Perry,Field decide another adult thing ground city still thus allow as.
499,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,0.27,19.9,Hatchling,Female,28-09-2017,Australia,Billabongs,Least Concern,Luke Martinez,Main year size show show.
500,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.67,133.4,Adult,Male,30-06-2020,Congo Basin Countries,Forest Rivers,Endangered,Stephanie Castaneda,Page bit anyone watch sometimes while sense window sit participant teach big none.
501,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.24,99.8,Subadult,Male,07-11-2023,Congo Basin Countries,Forest Rivers,Endangered,Carol Wilson,Treat church factor kid media run between positive.
502,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,1.87,57.7,Juvenile,Female,18-02-2011,Cambodia,Oxbow Lakes,Critically Endangered,Chad Allison,Wide shoulder according strong list expert commercial entire resource increase picture early send morning skin case.
503,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.4,98,Subadult,Female,09-01-2014,Gabon,Swamps,Endangered,Thomas Villanueva,Some gun ahead certainly act south want be fire word clearly article service produce political total around.
504,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.77,400,Adult,Female,23-04-2019,Colombia,Large Rivers,Critically Endangered,Michelle Guerrero,Win information though red them return finish general still too particular chair identify popular thought person peace.
505,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.74,52.7,Subadult,Male,22-03-2019,Philippines,Rivers,Critically Endangered,Gregory Cain,Simple thing base Mr hope rest they minute must degree memory.
506,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,0.84,25,Juvenile,Female,21-11-2015,Australia,Billabongs,Least Concern,Glen Reid,Agreement someone or.
507,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.45,41.6,Juvenile,Female,19-07-2022,Philippines,Freshwater Marshes,Critically Endangered,Raymond Barber,Book art health phone great answer prepare by.
508,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.96,118,Adult,Unknown,26-11-2023,Papua New Guinea,Lakes,Least Concern,Norman Chavez,South writer not thus physical mouth.
509,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.61,25,Adult,Female,28-01-2023,Cameroon,Forest Swamps,Vulnerable,Hayley Mitchell,Public research mind easy foreign old state guess better Republican stock bank artist thousand live.
510,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.25,74.6,Subadult,Female,27-08-2015,Philippines,Rivers,Critically Endangered,Jacob Fox,Next single the once PM you ready way rule indicate.
511,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,0.57,33.6,Hatchling,Male,29-06-2020,Papua New Guinea,Rivers,Least Concern,Jonathan Washington,Can relate tell brother defense list second want hard weight own impact building occur American check.
512,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.7,118.5,Adult,Female,18-09-2013,Mali,Lakes,Least Concern,William Turner,Agreement central six instead view figure exist consumer science able natural attack.
513,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.01,60.8,Adult,Unknown,12-02-2012,Australia,Freshwater Rivers,Least Concern,John Collins,Too sit little result paper seven measure leave last last term.
514,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.94,324.6,Adult,Male,29-06-2023,Cuba,Mangroves,Vulnerable,Robert Beck,Hold too fund animal provide kitchen everyone because close agent picture sign final population popular.
515,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,0.28,73.1,Hatchling,Unknown,12-12-2014,USA (Florida),Estuaries,Vulnerable,Tyler Weaver,Whatever miss seek.
516,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.41,96.7,Adult,Unknown,12-02-2022,Mauritania,Oases,Least Concern,Alicia Barrett,Conference affect skill early relationship thought know southern parent I and technology age join increase.
517,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.22,66,Subadult,Female,30-01-2009,Indonesia (Papua),Swamps,Least Concern,Emily Scott,Woman my experience consumer shoulder child.
518,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.69,379.4,Adult,Male,12-02-2006,South Africa,Reservoirs,Least Concern,Meghan Brown,Consider require fear better central throw election walk tonight appear.
519,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.63,97.3,Subadult,Unknown,23-07-2009,Cuba,Swamps,Critically Endangered,Kyle Young,Sell his boy art let imagine machine imagine do though especially white.
520,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.67,143.2,Adult,Male,20-05-2014,Cameroon,Swamps,Endangered,Danielle Peters,Fight image base player data whose.
521,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,3.78,419.4,Adult,Female,04-12-2006,Kenya,Reservoirs,Least Concern,William Casey,Weight which new among spend which per president cold art.
522,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.54,84.7,Adult,Male,19-06-2012,Papua New Guinea,Swamps,Least Concern,Denise King,Yourself successful defense subject example claim move attorney bed recognize store.
523,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,3.61,399.7,Juvenile,Male,03-11-2010,India,Coastal Wetlands,Least Concern,Yvonne Johns,Particular whatever five radio garden end sell laugh early.
524,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,0.26,44.6,Hatchling,Female,10-10-2021,Liberia,Swamps,Critically Endangered,Mrs. Julia Greene,Trial card two participant above act.
525,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.97,179.8,Subadult,Male,19-06-2017,Vietnam,Slow Rivers,Critically Endangered,Justin Horton,Several Mrs skin power back all story public public good.
526,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,1.95,69.2,Juvenile,Female,30-12-2012,Cuba,Swamps,Critically Endangered,Samantha Howard,Stuff speech worker by have cover act sea serve quite.
527,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,0.79,32.4,Juvenile,Female,20-08-2017,Guatemala,Lagoons,Least Concern,Cheryl Velasquez,Field response doctor management guy exactly toward religious decide cultural start how.
528,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.41,646.1,Adult,Female,01-08-2005,Tanzania,Rivers,Least Concern,Laura Snyder,Create school public owner compare open second camera value talk thing rock ever summer age.
529,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,3.18,153.5,Subadult,Male,22-05-2012,Papua New Guinea,Rivers,Least Concern,Megan Mendez,Third ability interview pull practice take follow such imagine business million many military analysis.
530,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.89,150.2,Adult,Male,18-06-2005,Cuba,Freshwater Wetlands,Critically Endangered,Amber Hull,Large accept create bank occur agent scene within interest avoid economic clearly financial personal benefit.
531,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.77,133.6,Subadult,Unknown,15-07-2018,Mauritania,Lakes,Least Concern,Robert Watkins,Various subject east list when strategy start mind door.
532,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,2.85,125.8,Adult,Unknown,07-03-2009,Papua New Guinea,Rivers,Least Concern,Kyle Gonzales,Personal often beat art almost.
533,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.71,695.5,Adult,Unknown,14-02-2019,Malaysia,Estuaries,Least Concern,Ryan Brown,Artist sort area particularly it big argue.
534,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.71,124.4,Adult,Male,25-09-2016,Côte d'Ivoire,Swamps,Critically Endangered,Samuel Morales,Sell do outside process action himself somebody they.
535,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.13,12.3,Subadult,Unknown,14-05-2005,Congo (DRC),Slow Streams,Data Deficient,Gina Pace,Law foreign court bill organization.
536,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.96,385.8,Subadult,Male,26-09-2009,Venezuela,Large Rivers,Critically Endangered,Richard Lee,Call meeting green loss per control case analysis camera once message prepare group.
537,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.35,87.5,Subadult,Unknown,02-07-2018,Guatemala,Rivers,Least Concern,Kimberly Thomas,Final garden hard account only question arm medical strong teach instead crime.
538,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,1,37.4,Juvenile,Unknown,22-03-2009,Papua New Guinea,Freshwater Wetlands,Least Concern,Terry Glover,Country little reality level realize system not friend federal forget bit then treat.
539,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.41,93.5,Subadult,Male,13-08-2007,Cuba,Freshwater Wetlands,Critically Endangered,Thomas Fowler DDS,Perhaps dream same weight former science day contain wrong guy available air boy fact create.
540,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.41,106.9,Adult,Male,27-06-2012,Cameroon,Forest Rivers,Endangered,Pamela Williams,Current exist despite energy company suggest early.
541,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.78,127.4,Subadult,Unknown,23-12-2025,Malaysia (Borneo),Rivers,Data Deficient,Christopher Green,Again quality her skin.
542,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,0.97,10.4,Adult,Male,06-02-2016,Ghana,Small Streams,Vulnerable,Timothy Torres,Hard head commercial money sometimes perhaps its represent budget third capital.
543,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.25,77,Juvenile,Unknown,22-02-2024,Malaysia (Borneo),Rivers,Data Deficient,Joseph Benson,Outside with each animal pattern country movement smile foreign apply.
544,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.61,136.8,Adult,Female,29-06-2020,Senegal,Rivers,Least Concern,Shelley York,Though decide bank likely professional ask meet seem population meeting material less focus hear reason resource manager.
545,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.17,81.4,Subadult,Male,18-01-2013,Cuba,Swamps,Critically Endangered,James Morse,Power debate thus later doctor despite interesting help church successful.
546,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.42,110.1,Juvenile,Female,04-04-2022,Venezuela,Flooded Savannas,Critically Endangered,Bradley Walton,Know goal once let perform international level.
547,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.6,28.3,Adult,Male,18-05-2007,Ghana,Forest Swamps,Vulnerable,Robert Stewart,Agent kid enter away top family maybe national back everybody direction budget growth national free.
548,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.79,904.4,Adult,Unknown,26-11-2014,Philippines,Coastal Wetlands,Least Concern,Danielle Mcgee,Course page case talk respond myself.
549,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.73,108.8,Subadult,Female,28-08-2012,Cuba,Freshwater Wetlands,Critically Endangered,Randy Campbell,Situation identify if oil pretty line mention.
550,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,2.66,115.8,Adult,Female,28-08-2022,Thailand,Slow Rivers,Critically Endangered,Brittany Sanders,Rich decide do only need light sport future beat suffer.
551,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,3.44,200.8,Adult,Unknown,31-01-2023,Indonesia (Borneo),Rivers,Data Deficient,Tom Butler,Last next hear officer campaign wall act special strong fund industry rate.
552,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.72,96.3,Adult,Male,30-03-2025,Papua New Guinea,Rivers,Least Concern,Richard Medina,Only nothing allow cause with yes nothing sometimes trial off hospital high we as.
553,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,1.96,57.1,Subadult,Unknown,10-09-2018,Australia,Gorges,Least Concern,John Murphy,Police fight commercial push concern step owner agree current treat history day fact modern.
554,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.78,154.3,Subadult,Male,04-10-2024,Liberia,Shaded Forest Rivers,Critically Endangered,Jacob Smith,Teacher improve church book movie long.
555,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.54,27.4,Adult,Male,11-07-2005,Congo (DRC),Slow Streams,Data Deficient,Troy Glenn,That finally stand professor city offer.
556,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,0.39,18,Hatchling,Female,03-11-2017,Australia,Billabongs,Least Concern,Dale Moran,Every account central ask human space moment travel these least office say.
557,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.65,249.9,Adult,Unknown,31-03-2010,Nepal,Reservoirs,Vulnerable,Stanley Bryant,Hospital statement sure indeed conference pay it his probably.
558,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,3.1,156.3,Adult,Female,11-03-2015,Cuba,Freshwater Wetlands,Critically Endangered,Anna Hale,Dream that event physical factor trouble recently.
559,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.52,100.7,Subadult,Female,15-11-2014,Malaysia (Borneo),Estuarine Systems,Data Deficient,Claudia Snyder,Building hard sense mean single improve close debate and ago.
560,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.7,115.8,Adult,Unknown,08-10-2009,Cuba,Swamps,Critically Endangered,Megan Murray,Second talk however action boy true.
561,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,4.24,444.1,Subadult,Female,18-08-2005,Venezuela,Large Rivers,Critically Endangered,Paul Washington,Bar prevent require just likely evidence claim stuff.
562,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.18,542.3,Subadult,Female,11-07-2022,Papua New Guinea,Coastal Wetlands,Least Concern,Cassandra Martinez,Collection provide action event key concern research throughout.
563,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,2.76,126.3,Subadult,Female,08-09-2013,Cuba,Swamps,Critically Endangered,Jessica Williams,Political respond to hospital final appear above significant short up hear draw before.
564,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,0.33,5.5,Juvenile,Unknown,06-12-2011,Congo (DRC),Forest Swamps,Data Deficient,William Rogers,Quite as when benefit structure professional right.
565,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.35,20.1,Adult,Male,07-10-2019,Congo (DRC),Forest Swamps,Data Deficient,Jose Ochoa,No couple debate must voice building degree ground community I.
566,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,0.41,17.5,Hatchling,Female,18-01-2009,Philippines,Freshwater Marshes,Critically Endangered,James Ellis,Price everything perhaps analysis those in should matter wrong.
567,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.03,68.5,Juvenile,Male,13-10-2018,Indonesia (Papua),Lakes,Least Concern,Raven Nielsen,Commercial where outside wonder recent question win.
568,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,5.4,765.7,Adult,Male,01-03-2006,India,Mangroves,Least Concern,Evelyn Reid,Within project attack adult treatment large memory score me.
569,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,0.47,34.5,Hatchling,Male,14-01-2011,Congo Basin Countries,Forest Rivers,Endangered,Alexis Smith,Final scene serious people art hear.
570,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.4,24.2,Adult,Male,17-05-2013,Congo (DRC),Forest Swamps,Data Deficient,Christian Harris,Draw rise write kitchen theory care fish skin.
571,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.2,67.4,Adult,Female,30-05-2018,Malaysia (Borneo),Estuarine Systems,Data Deficient,Ricky Perry,Seek director run garden day approach truth write soon recent.
572,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.81,45.5,Subadult,Male,06-04-2021,Philippines,Rivers,Critically Endangered,Shane Boyd,Kind accept thank attorney court plant center.
573,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.01,10,Juvenile,Female,13-06-2018,Liberia,Forest Swamps,Vulnerable,Brandon Watkins,Door back right find return each.
574,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.35,507.6,Adult,Unknown,28-09-2006,Nigeria,Rivers,Least Concern,David Mitchell,Whose cut television loss week growth help likely institution participant item choose west lot seven.
575,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,0.32,34.1,Hatchling,Female,18-03-2005,Mexico,Lagoons,Least Concern,Bradley Knox,Organization check risk either less.
576,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,3.13,196.2,Adult,Male,04-04-2010,Vietnam,Swamps,Critically Endangered,James Obrien,Four resource cultural trouble.
577,Siamese Crocodile,Crocodylus siamensis,Crocodylidae,Crocodylus,0.91,36.9,Juvenile,Unknown,22-04-2020,Thailand,Slow Rivers,Critically Endangered,Scott Cross,Man understand wait wife health majority political open.
578,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,3.62,210.4,Subadult,Unknown,15-03-2020,Venezuela,Mangroves,Vulnerable,Andrew Dorsey,Usually class several whatever side seem give remember play happy around history interest east local.
579,West African Slender-snouted Crocodile,Mecistops cataphractus,Crocodylidae,Mecistops,2.81,146.9,Subadult,Male,03-04-2020,Ghana,Swamps,Critically Endangered,Heather Mann,Recently population end lay race effect own weight.
580,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,3.11,134.8,Adult,Male,17-07-2021,Papua New Guinea,Rivers,Least Concern,Alexandria Wise,Huge only too million country institution stop.
581,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.51,124.6,Subadult,Female,08-11-2023,Nepal,Rivers,Vulnerable,Eric Ponce,Only safe sell under thank body of.
582,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,2.82,160.9,Adult,Unknown,24-11-2018,Gabon,Forest Rivers,Endangered,Robin Adams,Us huge final would staff ability attorney recent modern pressure run.
583,Morelet's Crocodile,Crocodylus moreletii,Crocodylidae,Crocodylus,2.58,87.1,Subadult,Unknown,03-04-2006,Guatemala,Swamps,Least Concern,James Padilla,Main me book note defense cut seek speak.
584,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.74,150.1,Adult,Female,12-08-2013,Chad,Lakes,Least Concern,William Savage,Phone person than coach fall help everybody garden.
585,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,0.72,33.8,Juvenile,Unknown,15-09-2022,Papua New Guinea,Rivers,Least Concern,Karen Chambers,Act entire western program smile.
586,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,1.09,11,Adult,Male,12-11-2007,Liberia,Small Streams,Vulnerable,Daniel Conner,Owner would seven usually list front investment he three yourself stage wait professor her arm.
587,Hall's New Guinea Crocodile,Crocodylus halli,Crocodylidae,Crocodylus,0.49,32.2,Hatchling,Male,29-04-2010,Papua New Guinea,Rivers,Least Concern,Gary Garcia,That I structure understand agent but most week seem eat later rather.
588,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.05,71.9,Subadult,Unknown,12-07-2012,Philippines,Rivers,Critically Endangered,Kayla Keller,Worry whatever spend admit growth animal.
589,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,3.9,428.9,Subadult,Unknown,07-06-2013,Venezuela,Flooded Savannas,Critically Endangered,Erika Wallace,Machine school soldier give voice walk live probably record beyond.
590,Nile Crocodile,Crocodylus niloticus,Crocodylidae,Crocodylus,4.37,601.3,Adult,Male,01-09-2005,Uganda,Lakes,Least Concern,Lawrence Joseph,Then size respond all marriage beautiful strategy you would level to western.
591,Orinoco Crocodile,Crocodylus intermedius,Crocodylidae,Crocodylus,1.25,102.9,Juvenile,Male,21-06-2005,Venezuela,Flooded Savannas,Critically Endangered,Mr. David Jackson,Black year ahead upon.
592,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.39,98.6,Adult,Female,13-09-2024,Papua New Guinea,Lakes,Least Concern,James Ramirez,Program week provide program two plant man.
593,Cuban Crocodile,Crocodylus rhombifer,Crocodylidae,Crocodylus,0.46,36.7,Hatchling,Unknown,07-08-2011,Cuba,Swamps,Critically Endangered,Faith Walker,Short over popular help response save high politics no task speak.
594,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.99,779.4,Subadult,Unknown,17-10-2018,Australia,Mangroves,Least Concern,Brian Miller,Future or could walk of camera finish herself say.
595,West African Crocodile,Crocodylus suchus,Crocodylidae,Crocodylus,2.32,102.4,Subadult,Unknown,06-02-2016,Chad,Lakes,Least Concern,Kevin Lee,Woman floor half quickly someone mind own develop house Mrs leave certain wall.
596,Saltwater Crocodile,Crocodylus porosus,Crocodylidae,Crocodylus,4.31,514.4,Subadult,Female,17-09-2010,Philippines,Estuaries,Least Concern,Kathryn Bryant,Exist section support still alone floor maybe read event summer.
597,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,2.97,168.8,Subadult,Female,30-07-2013,Mexico,Estuaries,Vulnerable,Lynn Lewis,Region heavy wonder four still decision run special red apply tend condition.
598,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,2.78,121,Subadult,Female,10-11-2005,Iran (historic),Rivers,Vulnerable,Mr. William Hopkins,Yard nature front question wrong serious hospital month.
599,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,1.16,25.5,Juvenile,Unknown,05-08-2021,Philippines,Freshwater Marshes,Critically Endangered,Michael Lee,Hour capital sell oil source sure report leader clear case receive fact certain.
600,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.63,97.4,Adult,Female,03-09-2019,Australia,Billabongs,Least Concern,Paul Moss,Gun task big size teach.
601,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.57,217.9,Subadult,Male,09-01-2012,Sri Lanka,Marshes,Vulnerable,William Shelton,Unit benefit wind conference appear woman practice order wide.
602,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.08,66.9,Subadult,Unknown,18-09-2023,Philippines,Rivers,Critically Endangered,Jennifer Johnson,However few other common seat simply yard provide.
603,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.6,101,Adult,Unknown,13-08-2022,Indonesia (Borneo),Rivers,Data Deficient,John Meyers,Every president happen build bar majority protect meeting.
604,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,1.24,38.1,Juvenile,Female,10-10-2017,Indonesia (Papua),Rivers,Least Concern,Kenneth Armstrong,Really behind or himself yourself reflect fear by foot.
605,American Crocodile,Crocodylus acutus,Crocodylidae,Crocodylus,0.37,78.9,Hatchling,Female,15-05-2011,Cuba,Estuaries,Vulnerable,Shannon Medina,Spend after new movie speech major million once research so buy.
606,West African Dwarf Crocodile,Osteolaemus tetraspis,Crocodylidae,Osteolaemus,0.97,11.3,Subadult,Male,01-12-2007,Sierra Leone,Small Streams,Vulnerable,Tracie Merritt,Television receive accept language fire always offer present because.
607,Central African Slender-snouted Crocodile,Mecistops leptorhynchus,Crocodylidae,Mecistops,1.95,80.8,Subadult,Female,09-06-2006,Gabon,Forest Rivers,Endangered,Paul Miller,Media hair name institution war a feel watch mind situation.
608,New Guinea Crocodile,Crocodylus novaeguineae,Crocodylidae,Crocodylus,2.85,122.1,Subadult,Unknown,25-11-2023,Indonesia (Papua),Swamps,Least Concern,Jill Ray,Mission worry goal Mrs decide between standard down.
609,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,1.67,49.8,Juvenile,Male,18-05-2010,Indonesia (Borneo),Estuarine Systems,Data Deficient,Elijah Wall,Own democratic grow campaign performance avoid effort high tough hundred.
610,Freshwater Crocodile (Johnstone's),Crocodylus johnstoni,Crocodylidae,Crocodylus,2.34,65.2,Subadult,Female,19-09-2006,Australia,Gorges,Least Concern,David Coleman,Movie audience run yet recent cover head price.
611,Borneo Crocodile (disputed),Crocodylus raninus,Crocodylidae,Crocodylus,2.94,122.6,Adult,Unknown,12-05-2015,Malaysia (Borneo),Estuarine Systems,Data Deficient,Lisa Barnes,First skin her who easy establish mother range image.
612,Philippine Crocodile,Crocodylus mindorensis,Crocodylidae,Crocodylus,2.31,79.3,Adult,Female,08-05-2015,Philippines,Freshwater Marshes,Critically Endangered,Brandon Blankenship,Chair something event better woman develop weight situation but money then open southern.
613,Mugger Crocodile (Marsh Crocodile),Crocodylus palustris,Crocodylidae,Crocodylus,3.61,210.9,Adult,Unknown,04-04-2007,Sri Lanka,Reservoirs,Vulnerable,Gregory Armstrong,Necessary parent to color water hope.
614,Congo Dwarf Crocodile,Osteolaemus osborni,Crocodylidae,Osteolaemus,1.42,25.3,Adult,Female,17-08-2020,Congo (DRC),Forest Swamps,Data Deficient,Patrick Faulkner,Necessary think I or else rather require price central nothing environment truth police have since.
